Material;Quantidade
Agenda Ensino Fundamental;1
Apontador;1
Borracha;2
Caderno brochurão 80 Folhas;4
Caneta hidrográfica (12 cores);1
Cola branca;2
Giz de cera Ensino Fundamental (12 cores);1
Lápis grafite;5
Régua;1
Tesoura;1
Estojo escolar;1
Caderno desenho 96 Folhas;1
Lápis de cor (12 cores);1
