Material;Quantidade
Apontador;1
Borracha;2
Caderno universitário mínimo 160 Folhas;3
Caderno desenho 96 Folhas;1
Caneta esferográfica azul;2
Caneta esferográfica preta;2
Caneta esferográfica vermelha;1
Lápis grafite;3
Régua;1
Tesoura;1
Lápis de cor (12 cores);1
