Material;Quantidade
Apontador;1
Borracha;2
Caderno universitário mínimo 80 Folhas;5
Caderno desenho 96 Folhas;1
Caneta esferográfica azul;2
Caneta esferográfica preta;2
Caneta hidrográfica (12 cores);1
Cola branca;2
Estojo escolar;1
Giz de cera Ensino Fundamental (12 cores);1
Lápis grafite;4
Régua;1
Tesoura;1
Lápis de cor (12 cores);1
