Material
Agenda Educação Infantil
Agenda Ensino Fundamental
Apontador
Borracha
Caderno brochurão 80 Fls.
Caderno desenho 96 Fls.
Caderno universitário mínimo 160 Fls.
Caderno universitário mínimo 80 Fls.
Caneta esferográfica azul
Caneta esferográfica preta
Caneta esferográfica vermelha
Caneta hidrográfica (12 cores)
Cola branca
Esquadro 45º
Esquadro 60º
Estojo escolar
Giz de cera Ensino Fundamental (12 cores)
Giz de cera grosso Educação Infantil (12 cores)
Lápis de cor (12 cores)
Lápis grafite
Massa para modelar (06 cores)
Régua
Tesoura
Tinta guache (06 cores)
Transferidor 180º
